Chiara,Abastanotti,Zu dieser Autor:in gibt es noch keinen Text.
Afnan,Al-Jaderi,"Afnan Al-Jaderi beschäftigt sich unheimlich gerne mit Farben, Stiften, Pinseln und allem was dazu gehört wenn etwas Schönes entstehen will. Sie ist Illustratorin und hat eine Leidenschaft für Sprachen, weshalb sie Arabistik und Transkulturelle Kommunikation studiert hat."
Francisco,Álvarez,"Francisco Álvarez, geboren 1970 in Gijón (Asturien, Spanien), ist Journalist, Übersetzer und Autor. Nach einigen historischen Sachbüchern veröffentlichte er 2017 diesen Debütroman, der mit dem Premio Xosefa Xovellanos de novela, dem bekanntesten asturischen Literaturpreis, ausgezeichnet wurde."
William,Andrews,"William Andrews ist Autor und Übersetzer, kommt ursprünglich aus Großbritannien und lebt seit 2004 in Japan. 2016 publizierte er Dissenting Japan: A History of Japanese Radicalism and Counterculture, from 1945 to Fukushima. 2018 erscheint seine englische Übersetzung des preisgekrönten Theaterstücks Love’s Whirlpool (??? Ai no Uzu) von Daisuke Miura."
Andrea,Aprile,"Andrea Aprile, geboren 1982, zahlreiche Publikationen als Szenarist und Illustrator."
Armutskonferenz,,"Die ARMUTSKONFERENZ ist ein Netzwerk von über 40 sozialen Organisationen, Bildungs- und Forschungseinrichtungen. Sie thematisiert Hintergründe und Ursachen, Daten und Fakten, Strategien und Maßnahmen gegen Armut und soziale Ausgrenzung in Österreich"
Loreto,Aroca,"Loreto Aroca, geboren in Palma de Mallorca, Illustratorin und Comiczeichnerin."
Attac,,"ATTAC ist eine internationale Bewegung, die sich für eine demokratische und sozial gerechte Gestaltung der globalen Wirtschaft einsetzt."
Vincent,Bailly,"Vincent Bailly, geboren 1967 in Nancy, Kunststudium in Strasbourg, Illustrator und Comiczeichner."
Nanni,Balestrini,"Nanni Balestrini, geboren in Milano, gilt als wichtigster Chronologist der anni di piombo, der Phase des latenten Klassenkrieges im Italien der 1970er Jahre, und veröffentlichte mehrere Romane zu Themen wie Arbeiterautonomie, Jugendrevolte und bewaffneter Kampf in Italien. Als Aktivist der Potere Operaio und später der Autonomia Operaia betrieb er ein Verlagshaus in Mailand mit. Wie viele andere traf ihn die Repression: Am 7. April 1979 kam es zu einer konzentrierten Verhaftungswelle. Auch er stand auf den Fahndungslisten, kann jedoch durch eine Panne der Polizei gewarnt werden. Die Anklage lautet auf „bewaffnete Subversion“ und 19-fachen Mord. Mit Skiern flüchtet er über die Alpen nach Frankreich, wo er bis 1984 im Exil untertauchen kann, dann wird er freigesprochen. Gemeinsam mit Primo Moroni veröffentlichte er die Studie „Die goldene Horde“, ein Geschichtsband und Kompendium zahlreicher Originaltexte aus den 70er Jahren."
Francesco,Barilli,"Francesco Barilli ist Schriftsteller und betreibt die Seite: reti-invisibli.net. Er hat für den Verlag BeccoGiallo unterschiedliche Publikationen redaktionell betreut. Ausserdem ist er Autor von Scuola Diaz (Editions Alegre 2009), Piazza Fontana (zusammen mit Matteo Fenoglio, BeccoGiallo 2009) und Piazza della Loggia (BeccoGiallo 2012)."
John,Barker,"John Barker, lebt in London und Wien, Schriftsteller, Essayist und Performer, konzentriert sich seit den 1970er Jahren auf die theoretische und praktische Kritik in Themenbereichen wie Ökonomie, geopolitischen Dynamiken und der Ausbeutung durch Arbeit. Sein Roman Futures erschien bei PM Press und seine Essays bei Magazinen wie Mute, Telepolis, Adbusters, Capital and Class und Variant."
Nicolás,Bautista,"Nicolás Rodríguez Bautisa, geboren 1950 in Kolumbien, wurde in seinem Dorf in den Bergen von Santander «Nicolacito» gerufen und ist seit 1998 als erster Kommandant der ELN unter dem Alias «Gabino» bekannt. Er war mit 14 Jahren und seit Beginn der ELN in den Reihen der Guerilla."
Beigewum,,"BEIGEWUM ist der Bei­rat für gesellschafts?, wirt­schafts- und umwelt­po­li­ti­sche Alter­na­ti­ven, ein Ver­ein von Sozi­al­wis­sen­schaf­te­rIn­nen aus unter­schied­li­chen Dis­zi­pli­nen, der das Ziel ver­folgt, Ergeb­nis­se kri­ti­scher For­schungs­tä­tig­keit in die lau­fen­de poli­ti­sche Debat­te einzubringen."
Arturo,Benvenuti,"Arturo Benvenuti, geboren im Treviso, Literat, Maler, Kunstkritiker und Forscher. Bis heute kombiniert er sein soziales und politisches Engagement mit der Förderung von Kunst und Fotografie durch Ausstellungen in der ganzen Welt."
Jean-Yves,Bériou,"Jean-Yves Bériou war in den 1970er Jahren an der kommunistischen Zeitschrift Le Voyou beteiligt, die damals, wie Négation, Intervention communiste usw., Teil einer intensiven theoretischen Diskussion war. Mittlerweile lebt er als Dichter und Übersetzter in Barcelona."
Julia,Billet,"Julia Billet, geboren 1961, lebt als Schriftstellerin in Paris. Der der Graphic Novel zugrundeliegende biografische Roman ""La Guerre de Catherine"" erschien 2012."
Auguste,Blanqui,"Auguste Blanqui verbrachte als französischer Revolutionär, Ehrenmitglied der Pariser Kommune, Literat und Barrikadenkämpfer fast 35 Jahre im Kerker, wo er schrieb und studierte."
Zaschia,Bouzarri,Zascha Bouzarri ist an der internationalen Zeitschrift SIC beteiligt.
Maurice,Brinton,"Maurice Brinton schrieb und übersetzte ab den 1960er Jahren für die britische libertär-sozialistische Gruppe Solidarity, beschäftigte sich mit anti-autoritären Strömungen innerhalb der ArbeiterInnenbewegung und nahm an den revolutionären Streiks und Umstürzen seiner Zeit teil, etwa in Belgien, Paris und Portugal und verfasste als Augenzeuge auch Berichte darüber. Er gilt als einer der weitsichtigsten und bekanntesten Theoretiker der Arbeiterautonomie Englands."
Chester,Brown,"Chester Brown, geboren 1960 in Montreal, lebt heute als Comic-Ku?nstler in Toronto. Sein gro?ßter Erfolg Louis Riel wurde fu?r zwei Eisner-Awards nominiert und vom Time Magazine unter die besten 10 Comics des Jahres 2003 gewa?hlt."
Os,Cangaceiros,"Os Cangaceiros bildeten sich aus dem Milieu der gescheiterten Rebellion im Mai 1968 in Frankreich. Sie nahmen sich die Verweigerung der Lohnarbeit zu Herzen und organisierten ihre Leben im Widerstand zu den bestehenden Verhältnissen. Somit standen sie von Beginn an mit einem Fuss im Kriminal. Sie reisten durch ganz Europa und beteiligten sich an den jeweiligen lokalen Revolten der 1970er und Anfang der 1980er Jahre. Mitte der 80er Jahre führten ihre Erfahrungen mit der Justiz und dem Gefängnissystem dazu, eben diese anzugreifen. Die meisten der in diesem Buch abgedruckten Texte stehen im Kontext ihrer Aktivitäten gegen die Gefängnisse. Neben der Sammlung aller wesentlichen Texte folgen am Ende Anschlagserklärungen, die einen Einblick in den vielfältigen und kreativen Aktionismus der Gruppe ermöglichen."
Lorena,Canottiere,"Lorena Canottiere, ist eine der profiliertesten Illustratorinnen und eine der erfolgreichsten Comiczeichnerinnen Italiens, veröffentlicht seit 2010 zu Dadaismus, Spanischem Bürgerkrieg und anderen Themen."
Daniel,Casanave,"Daniel Casanave, Comiczeichner, Schriftsteller und Bühnenbildner, trat zuletzt durch die Comic-Adaption Sapiens von Yuval Noah Harari in Erscheinung."
Alfredo,Castelli,Zu dieser Autor:in gibt es noch keinen Text.
Céka,,"Céka, Musikjournalist, Songwriter und Szenarist von mehr als 30 Comicalben."
Alfons,Cervera,"Alfons Cervera, geboren 1947 in Gestalgar (Valencia), ist Autor von mehr als 20 Werken auf Spanisch und auch auf Katalanisch. Ein wichtiger Teil seiner erza?hlerischen Arbeit ist mit dem historischen Geda?chtnis verbunden. Mehrere seiner Bu?cher wurden in andere Sprachen u?bersetzt, vor allem ins Franzo?sische, wo einige von ihnen Teil des literarischen Kanons in den Schulen sind. Zuletzt erschienen: La noche en que los Beatles llegaron a Barcelona (2018)."
Pedro J.,Colombo,"Pedro J. Colombo, geboren 1978 im spanischen Granollers, zeichnet seit dem 14. Lebensjahr Comics, zahlreiche Veröffentlichungen."
Agustín,Comotto,"Agustín Comotto, geboren in Buenos Aires (Argentinien), flüchtete nach dem Militärputsch 1976 mit seiner Familie nach Spanien, wo er heute als Illustrator und Zeichner tätig ist."
Jesús,Cossío,Zu dieser Autor:in gibt es noch keinen Text.
Mila,Cotlenko,Zu dieser Autor:in gibt es noch keinen Text.
The Real,Crime Inc,Ist eine informelle Autor_innengruppe aus dem literarischen Zwielicht Wiens
Renato,Curcio,"Renato Curcio, geboren in Rom, studierte Soziologie, heiratete Mara Cagol, bevor er als Militanter der Roten Brigaden 22 Jahre in Haft verbrachte."
Damien,Cuvillier,"Damien Cuvillier ist ein junger, belgischer Comicku?nstler, zahlreiche Vero?ffentlichungen."
Marcelo,D´Salete,"Marcelo D´Salete ist Illustrator, Lehrer und Comic-Autor."
Ryszard,Dabrowski,"Ryszard Dabrowski, Graphiker und Autor, geboren in Paris, lebt in Poznan und ist Polens bekanntester Underground-Punk-Comic- Zeichner."
Dimitris,Dalakoglous,"Geboren in Athen. Übersetzte zahllose Texte zur Revolte in Griechenland 2008 auf dem Blog Occupied London. Publizierte zu Urbanismus, zur Krise in Griechenland und ist Professor für Sozialantrophologie in Amsterdam."
Manuel,de Carli,"Manuel de carli wurde in Trento geboren und lebt in Rom. Seit 1996 zeichnet er für zahlreiche Comic-Magazine. Er hat an einigen Publikationen mitgearbeitet, unter anderem: Fortezza Europa (Rabbit 2006), Resistenze (BeccoGiallo 2007). Er ist Autor von Intimo Cucito (Centro Fumetto Andrea Pazienza 2007) und zusammen mit Alessandro di Virgilio von Thyssenkrupp (BeccoGiallo 2009) Manuel de Carli ist Teil des Kollektivs Fumetti partigiani."
Arnaud,Delalande,"Arnaud Delalande, geboren 1971 in Herblay-sur-Seine, Autor von mehr als 30 Comics und zahlreichen historischen Romanen."
Nikolaus,Dimmel,"Nikolaus Dimmel ist Jurist, Soziologe und Politikwissenschafter, Experte in Sozialwirtschaft (Soziale Dienste), Sozialverwaltung und Sozialpolitik."
Ines,Doujak,"Ines Doujak, geboren 1959 in Klagenfurt, ist feministische Künstlerin, die mit Installationen, Photographie und Konzeptkunst arbeitet. Teilnahmen an zahlreichen Ausstellungen, etwa Documenta 12 in Kassel, «The Beast and the Sovereign» im MACBA in Barcelona, und weiteren in Zürich, London, Montréal, Wien und Grafenegg. Zuletzt untersuchte sie Textilien und ihre globale Geschichte, die durch kulturelle, Klassen- und Geschlechterkonflikte gekennzeichnet ist und publizierte gemeinsam mit Oliver Ressler zu Utopien (Utopien Pulse – Flares in the Darkroom, Pluto Press 2015)."
Aurélien,Ducoudray,"Aurélien Ducoudray, geboren 1973 in Chateauroux (F), Journalist, Fotograf und Comicszenarist. Zahlreiche Veröffentlichungen."
Vincent,Dugomier,"Vincent Dugomier, geboren 1964 in Uccle (Belgien), Szenarist, Karikaturist und Autor, beteiligt an Spirou, Marsupilami und Muriel & Boulon."
Ale,Dumbsky,"Militanter mittleren Alters sitzt in Hamburg und hat dort das Reden auf drei Stühlen entwickelt. Er kann sich in einem Vortrag von Max Stirner, HSV Alt-Hooligans, nervigen Kreativlingen, Ulrike Meinhof, der österreichischen Straßenverkehrsordnung, William S. Borroughs bis hin zu anonymen italienischen Insurrektionalisten hangeln, ohne dass es blöd auffällt."
Morten,Dürr,"Morten Dürr ist Autor mehrerer Bücher, lebt in Kopenhagen und hat zwei Kinder."
Christian,Dürr,"Christian Dürr, arbeitet seit vielen Jahren für die KZ-Gedenkstätte Mauthausen und ist Kurator der dortigen Dauerausstellungen. Als Research Fellow am Centro de Estudios sobre Genocidio der Universidad Nacional de Tres de Febrero in Buenos Aires beschäftigte er sich mit Zeugnissen von Überlebenden der geheimen Folterlager während der argentinischen Militärdiktatur. Zahlreiche wissenschaftliche und journalistische Artikel zu den Themen Erinnerung, Nationalsozialismus und argentinische Militärdiktatur. Die Befreiung oder Marcellos Ende ist sein Romandebüt."
Walter,Ego,"Walter Ego lebt in Wien. Er hat an der Akademie der bildenden Künste in Wien in der PsychoConceptualArtPractices-Klasse Kunst studiert. Er hat je einen Preis gewonnen, noch ein Stipendium bekommen. Er war auch nie in einem Artistin-Residence- oder Fellowship-Programm und kann auch sonst auf keine längeren Auslandsaufenthalte verweisen. Er ist auch durch keine Galerie vertreten. Aber er macht jetzt Therapie. Seit zwei Jahren lehrt er bildnerische Emanzipation an einem Gymnasium in Wien. Er tritt gelegentlich in Erscheinung."
Rodrigo,Elgueta,"Rodrigo Elgueta, geboren 1971 in Santiago de Chile, Illustrator und Lehrer für bildende Kunst. Zahlreiche Veröffentlichungen für verschiedene Verlage, Ausstellungen in Chile, Spanien, Argentinien, Italien, USA und Kolumbien."
Alexandre,Elsig,"Alexandre Elsig ist Doktor der Geschichte. ""Die Aktionsliga der Bauarbeiter"" ist ein grosszügig illustriertes Buch und ein Resultat aus seiner 2009 an der Universität Freiburg eingereichten Masterarbeit. Seither widmet er seine Forschungen einer Kulturgeschichte der Schweiz während dem Ersten Weltkrieg. Die Schweiz und die deutsche Propaganda während dem Ersten Weltkrieg."
BenoÎt,Ers,"BenoÎt Ers, geboren 1971 in Liege (Belgien), Illustrator, bereits 1988 in Angoule?me mit dem Jugendpreis ausgezeichnet, zahlreiche Vero?ffentlichungen, meist mit Vincent Dugomier."
Éspe,,"Éspe, geboren 1974, Comiczeichner und Karikaturist, zahlreiche Veröffentlichungen bei den großen französischen Comicverlagen und in der Tageszeitung l´Humanité."
Rob,Evans,"Rob Evans arbeitet für The Guardian, jene Tageszeitung aus London, die seit der Veröffentlichung von Edward Snowdens Informationen über das Ausmass der globalen Bespitzelung der Internet-Kommunikation durch die NSA im Jahr 2013 im Fokus der Debatte um ausufernde staatliche Überwachungsmassnahmen steht."
Thomas,Fatzinek,"Thomas Fatzinek wurde in Linz geboren. Nach Abbruch der Schule und einer Lehre als Lithograph folgten Tätigkeiten als Altenhelfer, Häftlingsbetreuer, Lagerarbeiter, Siebdrucker, Spengler, Leiharbeiter, Scanner Operator, Briefträger und Zugfahrer im Zoo Schönbrunn. Er machte 2004 seine Diplomprüfung an der Wiener Kunstschule und beteiligte sich seither an mehreren Austellungen in Österreich, Deutschland und China."
Claire,Fauvel,"Claire Fauvel, geboren 1988 in Paris, Illustratorin und Comiczeichnerin, zahlreiche Veröffentlichungen, ausgezeichnet mit dem renommierten Preis des Festival d´Angoulême."
Wera,Figner,"Russische Revolutionärin der Narodnaja Wolja, verbrachte 20 Jahre im Kerker der Schlüsselburg in St. Petersburg."
Georg,Fingerlos,Er ist Historiker und Übersetzer und lebt in Wien.
Mario,Frisetti,Zu dieser Autor:in gibt es noch keinen Text.
Gaet's,,Zu den bekanntesten Werken des franzo?sichen Szenaristen Gaet ?s za?hlen neben The Beatles seine Bu?cher u?ber Bob Marley und The Doors.
Bertrand,Galic,"Bertrand Galic, geboren 1974 in der Bretagne, Szenarist, vero?ffentlichte mehrere Bu?cher mit Kris."
S?tefan,Gali?,"S?tefan Gali?, geboren 1944 in einer ungarischen Familie im zweisprachigen Lendava/Lendva, Slowenien. Lebte bis zu seinem frühen Tod 1997 als Maler und Druckgrafiker in Lendava. Ab 1970 über 70 Einzelausstellungen und Teilnahme an 230 Gruppenausstellungen in Slowenien und international sowie nationale und internationale Preise und Auszeichnungen. Gali? ist einer der bedeutendsten Grafiker im Slowenien der Nachkriegszeit."
Antonio,García,"Antonio García, geboren 1956 im südlichen Department Putumayo, trat der ELN mit 19 Jahren bei, als er in Santander Ingenieurswissenschaften studierte. Nach zwei Jahren ging er in den Untergrund und seit 1983 ist er der zweite Kommandant der Organisation."
Guy-Pierre,Gautier,"Guy-Pierre Gautier, geboren 1925 in La Rochelle (Frankreich), 2015 mit der Légion d’honneur geehrt, Ehrengast der 75. Befreiungsfeier in Dachau im April 2020."
Eva,Geber,"Eva Geber, geboren 1941 in Wien, Grafikerin, Autorin, Kulturpublizistin. 22 Jahre Arbeit in einer selbstverwalteten Druckerei. 35 Jahre Mitherausgeberin von AUF-Eine Frauenzeitschrift. Ihre Buchpublikationen sowie zahlreiche Veröffentlichungen in Zeitschriften und Anthologien gelten den feministischen Vorkämpferinnen, die sie in Erinnerung ruft. Für ihr Buch Der Typus der kämpfenden Frau – Frauen schreiben über Frauen in der Arbeiter-Zeitung von 1900–1933 erhielt sie 2013 den Bruno-Kreisky-Anerkennungspreis für das politische Buch."
Mario,Gomboli,Zu dieser Autor:in gibt es noch keinen Text.
Rudi,Gradnitzer,Rudi Gradnitzer ist Ökonom und lebt in Wien.
Dave,Hann,Zu dieser Autor:in gibt es noch keinen Text.
Monika,Helfer,"Monika Helfer, geboren in Au im Bregenzerwald, hat zahlreiche Romane, Erzählungen und Kinderbücher veröffentlicht und wurde dafür vielfach ausgezeichnet."
Gord,Hill,Gord Hill ist Autor und Comiczeichner und lebt in British Columbia. Er ist Angehöriger der Kwakwaka‘wakw und engagiert sich seit 1990 in der indigenen und der Antiglobalisierungsbewegung.
Sebastian,Hofer,"Sebastian Hofer, geboren 1979, arbeitet als Redakteur für das Nachrichtenmagazin profil und lebt in Wien."
Cvetka,Hojnik,"Cvetka Hojnik, geboren in Murska Sobota/Slowenien, lebt und arbeitet in Lendava. Neben bildnerischer Arbeit auch Unterrichtstätigkeit sowie Gestaltung von Kunst- und Poesiebüchern."
Lars,Hornemann,Lars Horneman aus Kopenhagen ist ein preisgekrönter Illustrator und wirkte bereits an über 100 Kinderbüchern und Comics mit.
Prole,. Info,"Prole.Info ist ein politisches Kollektiv aus den USA. Prole steht dabei für „proletarisch“, ein Wort, dass von Karl Marx verwendet wurde, um die Arbeiterklasse im Kapitalismus zu beschreiben. Es bezeichnet alle Leute, die kein Eigentum und kein Kapital besitzen, um zu Geld zu kommen, und deswegen dazu gezwungen sind, ihre Lebenszeit und ihre Energie an die Chefs zu verkaufen."
Bruno,Jasien?ski,"Bruno Jasien?ski, geboren 1901 in Klimonto?w, Enfant terrible des polnischen Futurismus der Zwischenkriegszeit, Poet und Autor, Dichter und Kommunist."
Robert,Jurak,"Robert Jurak, geboren am 1967 in Logarovci/Slowenien, wo er als Schlosser, Bildhauer und Maler lebt und arbeitet. Zahlreiche Ausstellungen und Landart-Projekte in Slowenien, Kroatien, Serbien, Ungarn und Österreich."
Jan,Karski,Jan Karski ist einer der maßgeblichsten Zeugen des Holocausts. 1992 wurde er von Yad Vashem in die Liste der Gerechten unter den Völkern aufgenommen und zu einem Ehrenbürger Israels ernannt.
Philipp,Katsinas (Hg.),"Philipp Katsinas, geboren in Innsbruck, ist Soziologe und Urbanist am King´s College in London."
Adnan,Keskin,"Adnan Keskin, 1957 bei Artvin in Nordostanatolien geboren, schließt sich als Schüler der linken Bewegung an, beteiligt sich am Aufbau von Devrimci Yol (Revolutionärer Weg) bricht 1978 aus der Haft aus und wird nach dem Militärputsch 1980 erneut verhaftet und wegen eines Überfalls auf eine Gendarmeriestation zum Tode verurteilt. Er flieht 1987 aus dem Militärgefängnis Erzincan, lebt bis zu seinem Tod 2014 im Exil, engagiert sich im Projekt «Erinnern und Handeln für die Menschenrechte» im Kölner Allerweltshaus und initiiert das Menschenrechtsfestival in Köln. Sein autobiografischer Roman Unbedingt Blau erzählt von der Sehnsucht nach Freiheit, den Ausbrüchen aus der Haft sowie dem Aufbruch und der Niederlage der revolutionären Linken der 1970er und 1980er Jahre in der Türkei."
Jakob,Klemencic,"Jakob Klemencic, geboren 1968, zählt zu den herausragenden Comic-Autoren Sloweniens."
Ruth,Klüger,"Ruth Klüger, 1931 in Wien geboren, überlebte mit ihrer Mutter mehrere KZs und wanderte nach dem Krieg in die USA aus. Nach einer Karriere in mehreren amerikanischen Universitäten, darunter Princeton, ist sie heute emeritierte Professorin für Germanistik an der University of California Irvine. Sie beschrieb ihre Jugenderlebnisse in ihrem bekanntesten und vielfach übersetzten Buch, der Autobiografie weiter leben. Eine Jugend (1992) und erhielt seither zahlreiche Auszeichnungen. Am meisten freut sie der Rauriser Literaturpreis (1992), der ihr lieb ist, weil er aus Österreich kommt und der Prix de la Shoah, weil er ein internationaler Preis ist, der in Paris vergeben wird."
Dimitris,Koufontinas,"Dimitris Koufontinas, geboren 1958 in Griechenland, mehr als 20 Jahre als Mitglied der Revolutionären Organisation des 17. November aktiv und an zahlreichen Attentaten, Überfällen und Anschlägen beteiligt."
Kris,,"Kris, geboren 1972 in Brest in der Bretagne, Szenarist, vero?ffentlicht regelma?ßig bei den großen franzo?sischen Comicverlagen."
Aintzane,Landa,"Aintzane Landa, geboren 1980 im spanischen Barakaldo, Coloristin vieler Bände."
Tatiana,Lecomte,"Tatiana Lecomte, geboren 1971, studierte freie Grafik an der Universität für angewandte Kunst Wien und Fotografie an der Rietveld Academie in Amsterdam. Seit 2000 als freischaffende Künstlerin tätig."
Tristan,Leoni,Tristan Leoni animiert zusammen mit Gilles Dauvé den Blog ddt21.noblogs.org.
David,Lester,"David Lester ist der Gitarrist des Underground-Rock-Duos Mecca Normal. Das Duo hatte großen Einfluss auf die Entwicklung jener sozialen Bewegung, die als Riot Grrrl bekannt wurde. Sein Poster des Antimilitaristen Malachi Ritscher wurde im Whitney Museum of American Art in New York aufgenommen. Er ist Autor und Illustrator von The Gruesome Acts of Capitalism und der Graphic Novel The Listener. Derzeit arbeitet er an einer Comic-Biographie von Emma Goldman."
Paul,Lewis,"Paul Lewis arbeitet für The Guardian, jene Tageszeitung aus London, die seit der Veröffentlichung von Edward Snowdens Informationen über das Ausmass der globalen Bespitzelung der Internet-Kommunikation durch die NSA im Jahr 2013 im Fokus der Debatte um ausufernde staatliche Überwachungsmassnahmen steht."
Bicycle,Liberation Front,"Die Bicycle Liberation Front (BLF) ist eine Wiener situationistische Gruppe aus dem Milieu der revolutionären Transition des Fahrrads, welches sich in diversen selbstorganisierten Werkstätten und Demonstrationen wie Critical Mass oder RAF – Radfahren am Freitag verortet und konstitutiert hat."
Éric,Liberge,"Éric Liberge, geboren 1965 in Frankreich, lebt als Comiczeichner in Bordeaux, zahlreiche Serien und Einzelbände, Auszeichnung mit dem Prix René Goscinny des Comicfestivals in Angoulême 1999."
Alexander,Lippmann,"Alexander Lippmann, geboren 1978 in Niederösterreich, ist Autor, Übersetzer und Sänger. Er lebt und arbeitet in Wien."
Verena,Loisel,"Verena Loisel, geb. 1993 in Wien, Illustratorin und Comiczeichnerin, studierte an der Wiener Kunstschule, ist an zahlreichen Comic-Projekten beteiligt, etwa den ASH – Austrian Superheroes."
Lucie,Lomová,"Lucie Lomova?, geboren 1964, ist Comiczeichnerin, Ku?nstlerin und lebt in Prag."
Occupied,London#5,"AutorInnen:
 
 
 
 Dimitris Dalakoglous
 
 1975, Athen
 
 Übersetzte zahllose Texte zur Revolte in Griechenland 2008 auf dem Blog Occupied London. Publizierte zu Urbanismus, zur Krise in Griechenland und ist Professor für Sozialantrophologie in Amsterdam.
 
 
 
 Andy Merrifield
 
 1960, Liverpool
 
 Essayist, Geograph, Urbanist, Marxist und Schüler von David Harvey.
 
 
 
 Gal Kirn
 
 1980, Ljubljana
 
 Politikwissenschafter mit dem Schwerpunkten sozioökonomische Geschichte und Kulturgeschichte des sozialistischen Jugoslawiens, Sozialismus, Post-Sozialismus, Erinnerungskulturen, Theorien politischer Herrschaft und des sozialen Wandels. In seiner Heimatstadt Ljubljana wirkt er am Projekt Delavsko-punkerska univerza (Worker's Punk University) mit und schrieb für die slowenische Wochenzeitschrift Objektiv.
 
 
 
 John Berger
 
 1926–2017
 
 John Berger war ein englischer Schriftsteller, Maler und Kunstkritiker, bekannt für seine historische Trilogie zum bäuerlichen Leben und seine finanziellen Unterstützung der Black Panther Party.
 
 
 
 Dawn Paley
 
 1986, Vancouver
 
 Dawn Paley ist Journalistin, publizierte zum Krieg gegen Drogen und studiert an der autonomen Universität in Puebla, Mexico."
Sebastian,Lotzer,"Sebastian Lotzer heisst im wirklichen Leben ganz anders, hält sich mit Lohnarbeit über Wasser und berichtet ab und zu unter diversen Pseudonymen im Netz und an anderer Stelle über die Welt der Revolten und Aufstände."
Emilio,Lussu,"Emilio Lussu aus Sardinien, Offizier im 1. Weltkrieg, Schriftsteller, Antifaschist und Politiker der Sardischen Aktionspartei. 1926 inhaftiert in Limpari, 1929 Flucht nach Frankreich und Mitglied von Giustizia e liberta. Nach Kriegsende Abgeordneter zum italienischen Parlament. Beim Folio-Verlag erschienen vom selben Autor ""Marsch auf Rom und Umgebung und Ein Jahr auf der Hochebene."""
Martin,Lux,"Martin Lux, geboren in London, Sohn irischer Einwanderer, hat sein Leben dem Kampf gegen den Faschismus gewidmet. Verfasser zahlreicher Artikeln, weiters von ihm erschienen: Camden Parasites (Phoenix Press, London 2007)"
Michels,Mabel,"Unter dem Pseudonym Michels Mabel verbirgt sich ein franzo?sischer Comicszenarist, der u.a. auch Comics zu Jacques Brel und Baudelaire vero?ffentlichte."
