Chiara,Abastanotti,Zu dieser Autor:in gibt es noch keinen Text.
Julia Maria,Makoschitz,"Julia Maria Makoschitz, geboren 1990, studierte an der Universität der Angewandten Künste in Wien und an der Escuela di Arte y Disenio in Valencia/Spanien. Sie ist Performance- und Video-Künstlerin, Musikerin und Lehrerin der künstlerischen Fächer. Lebt und arbeitet in Wien."
Jannis,Mallouchos,"Jannis Mallouchos, geboren in Athen, studierte Komposition und Musiktheorie an den Musikuniversitäten in Graz und Wien und ist Doktorand in Musikwissenschaft an der Universität für Musik und darstellende Kunst Wien."
Milo,Manara,Zu dieser Autor:in gibt es noch keinen Text.
Jesús,Marchamalo,"Jesús Marchamalo, geboren 1960 in Madrid, Schriftsteller, Kurator und Journalist bei Radio Nacional de España und Televisión Española, zahlreiche Veröffentlichungen und Preise."
Matteo,Mastragostino,Zu dieser Autor:in gibt es noch keinen Text.
Andy,Merrifield,"Andy Merrifield, geboren 1960 in Liverpool, marxistischer Geograph, Urbanist und Lektor, bekannt durch zahlreiche Artikel und Bücher."
Karen,Messing,"Karen Messing, Professorin an der Université du Québec à Montréal in Kanada, ist eine vielfach ausgezeichnete und international anerkannte Expertin für Arbeitsmedizin. Sie ist Autorin von mehr als 130 peer-reviewed Artikeln, Studien und Büchern. Ihr neues Buch Unsichtbare Schmerzen erschien bereits auf Englisch, Französisch und Koreanisch."
Markus,Metz,"Markus Metz, geboren 1958, Studium der Publizistik, Politik und Theaterwissenschaft in Berlin, lebt als freier Journalist und Autor in München."
Louise,Michel,"Louise Michel war eine französische Anarchistin, Lehrerin und Autorin. Nach ihrer Teilnahme an der Pariser Kommune 1871 verbrachte sie neun Jahre in der Verbannung in Neukaledonien und danach weitere zwei Jahre in Frankreich im Gefängnis wegen Anstiftung zu Plünderungen. Sie gilt als die bekannteste Revolutionärin Frankreichs und verfasste zahlreiche Reden, Dramen und Romane, doch bisher wurden nur ihre Memoiren 1962 in der DDR auf Deutsch übersetzt."
Dasko,Milinovic,"Dasko Milinovic, Historiker, Radiojournalist, lebt und arbeitet in Novi Sad. Zahlreiche Veröffentlichungen zur Zeitgeschichte."
Berthold,Molden,"Berthold Molden, Historiker, lehrt und forscht über die Ideengeschichte des Kalten Krieges und der Entkolonisierung. 2018 leitete er das Projekt «Gekreuzte Geschichten. Mexikoplatz 1938–2018»."
Jean-David,Morvan,"Jean-David Morvan, geboren 1969, lebt und arbeitet in Reims als Szenarist und Autor, etwa der Comic-Serie Spirou und Fantasio."
Johann,Most,"Johann Most, (1846–1906), Propagandist und Revolutionär, lebte in Deutschland, Wien, London und New York."
Emmanuel,Moynot,"Emmanuel Moynot, geboren 1960 in Paris, zeichnete bereits mehr als 40 Geschichten, zudem musiziert er und engagiert sich in der Gewerkschaft CGT."
Salo,Muller,"Salo Muller, geboren 1936 in Amsterdam, Physiotherapeut von Ajax Amsterdam, Autor."
Ahmet,Muminovi?,"Ahmet Muminovi?, geboren 1945 in Sarajevo, ist einer der produktivsten Comicautoren Jugoslawiens. Seine Werke wurden bisher ins Chinesische, Französische, Finnische, Spanische und Türkische übersetzt."
Gaspard,Nock,"Gaspard Njock, geboren 1985 in Douala (Kamerun), studierte in Rom und lebt heute als Comiczeichner und Opernliebhaber in Paris."
Alfred J.,Noll,Alfred J. Noll ist Rechtsanwalt und Universitätsprofessor für Öffentliches Recht und Rechtslehre in Wien.
Tiburce,Oger,"Tiburce Oger, geboren 1967 in Paris, Trickfilmer, Comic-Autor und Zeichner, veröffentlichte zahlreiche Serien und Alben, zumeist im Fantasy-Genre, wohnt heute in Angoulême."
Rafael,Ortiz,"Rafael Ortiz, geboren 1983 in Buenos Aires, Comiczeichner und Illustrator, zahlreiche Veröffentlichungen in den USA und Frankreich."
Sevasti,Pagania,"Sevasti Pagania ist Architektin und leidenschaftliche Köchin. Sie wurde in Ioannia geboren, einer im Nordwesten Griechenlands gelegenen Kleinstadt. Momentan lebt sie in Thessaloniki und arbeitet unter anderem in einer kollektiv verwalteten Taverne."
Richard,Parry,Er studierte am University College London und arbeitet als Anwalt.
Wolfgang,Paterno,"Wolfgang Paterno, seit 2005 Redakteur des Wiener Nachrichtenmagazins profil, letzte Veröffentlichung: «So ich noch lebe...» – Meine Annäherung an den Großvater (Haymon 2020)."
Jordi,Peidro,"Jordi Peidro, geboren 1965 in Spanien, Comiczeichner und Autor zahlreicher Theaterstücke und Romane."
Ana,Penyas,"Ana Penyas, geboren 1987 in Valencia, wurde 2018 als erste Frau mit dem höchsten spanischen Comicpreis Premio Nacional del Cómic ausgezeichnet."
Zoran,Petakov,"Zoran Petakov, geboren 1976 in Novi Sad, Aktivist und Autor, engagiert sich in der Gedenkpolitik."
Stéphane,Piatzszek,"Stéphane Piatzszek, geboren 1971, ist Szenarist, Lehrer, Journalist und TV-Drehbuchautor. Die Insel der Gerechten widmet er seinen Großeltern Suzanne und Henri Cohen."
Robert,Pichler,"Robert Pichler, ist Historischer Anthropologe und Fotograf am Forschungsbereich Balkanforschung an der Österreichischen Akademie der Wissenschaften. In seiner Arbeit befasst er sich mit Migration in, aus und nach Südosteuropa, mit bildwissenschaftlichen Fragestellungen und sozialgeschichtlichen Themen. Als Fotograf arbeitet er an der Schnittstelle zwischen Dokumentar- und Kunstfotografie."
Uroš,Potocnik,"Uroš Potocnik, geboren 1974 in Slovenj Gradec/Slowenien, lebt als bildender Künstler in Bele Vode. Zahlreiche internationale Ausstellungen."
Hana,Puchová,"Hana Puchová, geboren 1966, studierte Illustration und Grafik in Prag, lebt und arbeitet in Ostrava."
Edit,Pula,"Edit Pula(j) ist Künstlerin, Kuratorin, Musikproduzentin und Kulturberaterin des Bürgermeisters von Tirana. Ihre jüngsten Projekte waren ortsspezifische Installationen und partizipative Kunstprojekte, die aus dem kulturellen Gedächtnis Albaniens schöpfen. Gemeinsam mit Joe Boyd und Andrea Görtler hat sie das preisgekrönte Musikprojekt Saz’iso geschaffen. In Tirana leitet sie das CLOUD Projekt als eine der wichtigsten kulturellen Initiativen des Landes."
Marijan,Pušavec,"Marijan Pušavec, geb. 1962, ist Zeitschriftenredakteur, Kritiker und Kurzgeschichtenautor. Als Co-Szenarist schuf er zusammen mit Vittorio de la Croce (Zoran Smiljani?) das Comic-Serial Hardfuckers 1–3 (das 1987-1990 in Fortsetzungen in der Wochenzeitschrift Mladina und 1999 als Album erschien). Ebenfalls in Zusammenarbeit mit Zoran Smiljani? entstand das Szenario für das Comic-Serial Die Mexikaner (2006-2016, fünf Bände). Pušavec ist zudem Szenarist der 2015 erschienenen Graphic Novel Alma M. Karlin – Svetovljanka iz province (Alma M.- Karlin – Weltbürgerin aus der Provinz) über die aus Celje stammende deutschsprachige Autorin und Weltreisende Alma M. Karlin."
Christian,Rabl,"Christian Rabl, geboren 1979 in Lilienfeld, Historiker, Mitarbeiter des Gedenkvereins MERKwürdig in Melk/Donau, Lehrbeauftragter am Institut für Zeitgeschichte in Wien. Dissertation zur juristischen Ahndung von Verbrechen im Zusammenhang mit dem Mauthausen-Komplex. Weitere Veröffentlichungen u.a. Das KZ-Außenlager St. Aegyd am Neuwalde."
Florian,Rainer,"Florian Rainer, geboren 1982 in Leoben, hat in Wien Soziologie und Sozioökonomie studiert. Er arbeitet als Portrait- und Reportagefotograf fu?r nationale und internationale Magazine. Zudem konzentriert er sich auf freie ku?nstlerische Projekte. Seine freie Arbeit zeichnet sich durch einen reflektierten Umgang mit Fotografie und einen oft soziologischen Blick auf Menschen aus. Zuletzt (2015) veröffentlichte er den Band Fluchtwege, in dem die Migrationsbewegung im Herbst 2015 in Österreich auf konzeptuelle Weise beschrieben wird."
Alessandro,Ranghiasci,Zu dieser Autor:in gibt es noch keinen Text.
Richard,Rashke,"Er ist Journalist, Saxophonspieler und Historiker und unterrichtete an der American University und an der University of Maryland."
Javi,Rey,"Javi Rey, geboren 1982 in Brüssel, studierte an der katalanischen Grafikschule Escola Joso und lebt als Comiczeichner in Barcelona."
Carlos,Reyes,"Carlos Reyes, geboren 1967 in Santiago de Chile, Szenerist, audiovisueller Kommunikator und Lehrer. Teilnahme und Organisation mehrerer Comic-Festivals, verfasste Essays, Prologe und Comic-Scripts für zahlreiche chilenische und internationale Veröffentlichungen."
Luis,Rossell,Zu dieser Autor:in gibt es noch keinen Text.
Tore,Rørbæk,"Tore Rørbæk ist Politikwissenschafter, Journalist und Nahostberichterstatter fu?r die da?nischen Tageszeitungen Jyllands-Posten und Berlingske."
Salva,Rubio,"Salva Rubio, geboren 1978 in Madrid, Szenarist, Schriftsteller, Historiker."
Sylvain,Savoia,"Sylvain Savoia, geboren 1969, lebt und arbeitet in Reims als Comiczeichner und Illustrator."
Boris Wiktorowitsch,Sawinkow,"Boris Sawinkow ist der Autor der Autobiographie ""Erinnerung eines Terroristen"", über seine Zeit als Mitglied der Kampforganisation der Partei der Sozialrevolutionäre. In dieser Funktion war er für zahlreiche Attentate auf höchste Repräsentanten des Zarismus sowie für Hinrichtungen von Verrätern und Spitzeln der Ochrana verantwortlich. Nach seiner Verhaftung und dem Todesurteil gelang ihm 1906 die Flucht ins Ausland. Er kehrte erst nach der Februar-Revolution 1917 nach Russland zurück und übernahm Regierungsverantwortung unter Kerenski. Nach der Oktoberrevolution beteiligte er sich an diversen Aufständen gegen die neue Herrschaft der Bolschewisten und starb 1925 in den Händen der sowjetischen Geheimpolizei Tscheka."
Oliver,Scheiber,"Oliver Scheiber, geboren 1968 in Wien, Jurist und Publizist. Er ist Vorstandsmitglied mehrerer zivilgesellschaftlicher Organisationen, engagiert sich im Menschenrechtsbereich und hält Lehraufträge an Hochschulen. Regelmäßige Beiträge u.a. in Die Zeit, Standard, Presse, Falter und Profil."
Thomas,Schmidinger,"Thomas Schmidinger, ist Politikwissenschaftler und Kultur- und Sozialanthropologe und lehrt an der Universität Wien und den Fachhochschulen Vorarlberg und Oberösterreich. Er ist Generalsekretär der Österreichischen Gesellschaft zur Förderung der Kurdologie und Mitherausgeber des Wiener Jahrbuchs für Kurdische Studien und schreibt regelmäßig für Medien wie Standard, Presse, Falter, Zeit und andere."
Georg,Seeßlen,"Georg Seeßlen, geboren 1948 in München, studierte Semiotik, Malerei und Kunstgeschichte und arbeitet als freier Autor, Feuilletonist und Filmkritiker."
Deborah,Sengl,"Deborah Sengl, geboren 1974 in Wien, studierte ab 1992 in der Meisterklasse von Mario Terzic an der Hochschule für Angewandte Kunst in Wien. Sengl schloss ihr Studium 1997 mit einem Diplom in der Meisterklasse von Christian Ludwig Attersee (Abteilung für bildende Kunst) ab. Seither zahlreiche Ausstellungen."
Franc,Sever – Franta,"Franc Sever – Franta, geboren 1923 in Šent Jurij (Slowenien), Pilot, Partisan und Autor, am 9. Mai 2019 zum Ehrenbürger von Ljubljana ernannt. Der Durchbruch seiner Einheit in den Kamnišker Alpen im März 1945 wurde 2019 unter dem Titel Prebojverfilmt."
Benoist,Simmat,"Benoist Simmat ist Journalist, Essayist und Szenarist, Autor von bisher rund dreißig Büchern. Als langjähriger Mitarbeiter der La Revue du Vin de France gehört die Welt des Weins zu seinem Spezialgebiet."
Zoran,Smiljani?,"Zoran Smiljani?, geb. 1961, ist ein slowenischer Comicautor, Illustrator, Karikaturist, Szenarist, grafischer Gestalter, Filmpublizist sowie Autor dreier Bücher zum Thema Film, neuerdings auch Drehbuchschreiber. Erste Veröffentlichungen im Jahr 1980, zwischen 1987 und 2016 publizierte er allein im slowenischen Wochenmagazin Mladina an die 1000 Comicseiten. Den Stoff für seine politisch engagierten und inhaltlich provokanten Comics schöpft er aus der slowenischen Gegenwart und jüngeren Vergangenheit. Wegen der Probleme, die er im Zuge des Zerfalls Jugoslawiens bekam, veröffentlichte er eine Zeitlang unter dem Pseudonym Vittorio de la Croce."
Ivan,Smiljani?,"Ivan Smiljani?, geboren 1994, Doktorand an der Universität Ljubljana. Autor von zwei Büchern und zahlreichen Artikeln."
Mikkel,Sommer,"Mikkel Sommer, geboren 1987 in Kopenhagen, lebt in Berlin und Athen als Illustrator, unter anderem fu?r New York Times, Cartoon Network und The New Yorker."
Jutta,Sommerbauer,"Jutta Sommerbauer, geboren 1977 in Wien, hat in Wien, Frankfurt/Oder und Sofia Politikwissenschaft, Medien und Interkulturelle Kommunikation studiert. Sie ist Außenpolitik- Redakteurin der österreichischen Tageszeitung Die Presse und verfolgt seit zehn Jahren politische und gesellschaftliche Entwicklungen in den Staaten der fru?heren Sowjetunion. Im Jahr 2016 veröffentlichte sie den Reportageband ""Die Ukraine im Krieg. Hinter den Frontlinien eines europäischen Konflikts"". Seit November 2017 ist sie Korrespondentin der Presse in Russland."
Doc,Sportello,Doc Sportello ist ein Übersetzungskollektiv aus der Schweiz. Selbiges betreibt auch den Blog kommunisierung.net um die französische post-marxistische Kommunisierungsdebatte deutschsprachigen LeserInnen zugänglich zu machen.
Evelyn,Steinthaler,"Evelyn Steinthaler, geb. 1971 in Celovec/Klagenfurt, Studium an der Uni Wien, Autorin und Übersetzerin. Für das Buch Frauen 1938 Auszeichnung mit dem Bruno-Kreisky-Anerkennungspreis für das Politische Buch. Weitere Veröffentlichungen: Morgen muß ich fort von hier (Biografie von Richard Tauber), Nicht nur in Worten, auch in der Tat (Hörbuch mit Käthe Sasso). Zuletzt erschien ihre Übersetzung von Austria – A Soldier’s Guide."
Sergius,Stepniak,"Sergius Stepniak
 
 Juli 1851 - Dezember 1859
 
 
 
 
 
 In der guten alten russischen Tradition der Konspirativität, Geheimhaltung und Tarnung ist Sergius Stepniak ein nom de guerre, hinter dem sich der eigentliche Name Sergius Michailowitsch Krawtschinsky verbirgt. Krawtschinsky (1851–1895) war einer der ganz zentralen Akteure der revolutionären Bewegungen im Russland des 19. Jahrhunderts.
 
 
 
 Geboren am 1. Juli 1851 als Sohn eines Militärarztes in dem in der heutigen Ukraine gelegenen Novy Starodub bleibt er nach der Militärschule in Moskau und der Artillerieschule in Petersburg im Dienst und steigt bis zum Oberlieutenant auf. Beim Militär wird er durch Tezakowicz und Rogaczew, mit dem ihm eine enge Freundschaft verbindet, in die Kreise der Revolutionäre eingeführt.
 
 
 
 Er verbringt Teile seiner Kindheit am Land bei den Bauern und seit dieser Zeit bestand eine tiefe Sympathie, die seine zuerst demokratischen und schliesslich revolutionären Einstellungen formte. 1874 wird er als verdächtig verhaftet, konnte aber beim Transport zum Gefängnis fliehen. Nun wird er mit einem gefälschten Pass Student am Forstinstitut in Petersburg und hier beginnt seine Agitation, zunächst unter den Bauern. Der weisse Schrecken der Regierung wütete gerade in Russland, und daher sah auch Stepniak den Terrorismus als das einzige geeignete Mittel der Wahl an. Und er beteiligte sich nun an vielen grossen Aktionen. So war er etwa federführend an der Befreiung seines Freundes Peter Kropotkin aus der Peter und Pauls-Festung in Petersburg beteiligt. Auch während dem Prozess der Hunderdreiundneunzig nimmt er an dem Versuch teil, Wolchowsky zu befreien. Schliesslich muss er 1877 Russland verlassen, um seine eigene Freiheit zu retten. Nach einem kurzen Aufenthalt in Genf schloss er sich der kleinen Rebellion in der italienischen Provinz Bevevento von Errico Malatesta an. Er kehrte 1878 nach Russland zurück, wo gerade der Prozess gegen Vera Sassulitsch am Laufen war. Über den Chef der Geheimpolizei, Mecenzcew, war von der Bewegung das Todesurteil gefällt worden, und Stepniak tötete ihn am 16. August 1878 mit Dolchstossen auf offener Strasse in Petersburg. Nun befand sich Stepniak, auf dessen Festnahme ein hoher Preis ausgesetzt war, in unterschiedlichen Regionen Russlands und setzte seine Agitation weiter fort, so gab er etwa zusammen mit Nikolai Morozov und Olga Liubatovich die Zeitung der Narodniki, Land und Freiheit, heraus. Doch die Schlinge zog sich immer enger um seinen Hals, und so musste er Russland 1880 endgültig verlassen. Nach einem kurzen Aufenthalt in der gerade für russische Revolutionäre beliebten Schweiz kam er nach London. Hier beginnt für ihn eine friedlichere, aber unermüdliche Tätigkeit, und er beherrscht die englische Sprache bald perfekt. Er ist in den revolutionären Zirkeln zusammen mit seinen FreundInnen Louise Michel, Peter Kropotkin oder Errico Malatesta unterwegs. Es folgten zahlreiche Schriften, die sich immer um die russischen Zustände drehen und die alle den Zweck haben, die russische Revolution zu fördern. Zu seinem Œuvre zählen neben Das unterirdische Russland etwa auch Der russische Bauer oder Die Laufbahn eines Nihilisten. Stepniak blieb zeit seines Lebens agitierender Revolutionär. Am 23. Dezember 1895 kommt er durch eine vorbeifahrende Eisenbahn, die er übersah, in der Nähe seiner Wohnung um.
 
 
 
 Das unterirdische Russland ist erstmals 1882 in englischer Sprache mit einem Vorwort von Peter Lawroff in London publiziert worden. In den nächsten beiden Jahren folgten Veröffentlichungen von Übersetzungen zuerst in Italien und dann in der Schweiz. Die von Max Trautner übersetzte schweizerische Ausgabe wurde 1884 in Bern herausgegeben und wird nun, 130 Jahre später, angepasst an unsere Schrift und Sprache, neu aufgelegt. Stepniaks erklärtes Ziel war es, Unterstützung für die revolutionäre Bewegung seines Landes ausserhalb von Russland zu finden und die Revolutionäre von anderswo über die Geschehnisse in Russland zu informieren. Schliesslich erschien 1893 in Russland eine von ihm selbst angefertigte Übersetzung, die unter den jungen russischen Revolutionären extrem populär wurde. Sein Buch wird heute in Russland nach wie vor als Klassiker der Narodniki-Bewegung betrachtet."
Marlene,Streeruwitz,"Marlene Streeruwitz, geboren in Baden bei Wien, Studium der Slawistik und Kunstgeschichte, seit 1986 literarische Veröffentlichungen. Zahlreiche Preise für Hörspiele und Theaterstücke. Ab 1996 Romane und Novellen. So ist die Welt geworden. ist ein politisches Forschungsprojekt mit literarischen Mitteln im Kontext der seit 2001 erschienen Wahlkampfromane, die sie die Wahlen in Österreich begleitend im Internet veröffentlicht. Der Covid-19-Roman erscheint nun als 13. Roman der Autorin. Bis zur Coronakrise in New York, London und Wien verortet. Derzeit Wien."
Arven Šakti,Kralj Szomi,"Arven Šakti Kralj Szomi, geboren 1974 im slowenischen Kranj, verbrachte ihre Jugend in England und ist Fotografin und Übersetzerin."
Bakos,Tamás,"Bakos Tamás, geb. 1976 in Nagyk?rös/Ungarn. Volks- und Mittelschule, Kellnerlehre, Autodidakt. Zwischen 2000 und 2013 obdachlos in Budapest. Nach einer schweren Schussverletzung lebt er wieder in seinem Geburtsort. Seit 2014 zahlreiche Einzelausstellungen und Präsentationen auf internationalen Kunstmessen."
Antonio,Téllez Solá,"Antonio Téllez wurde geboren im katalanischen Tarragona. Er war gerade 16, als der spanische Bürgerkrieg ausbrach. Sofort trat er der libertären Jugend bei und kämpfte gegen Kriegsende auf „republikanischer“ Seite. Im Exil in Frankreich schloss er sich der Résistance an und nahm 1944 an der gescheiterten Invasion einer Guerrillaarmee in den spanischen Pyrenäen teil. Danach unterstütze er aktiv den antifranquistischen Widerstand und reiste zu diesem Zweck selbst nach Spanien. Später arbeitete er als Journalist in Frankreich, wo er 2005 starb. Der Anarchismus war seine Weltanschauung, der Kampf gegen den Franquismus und der bewaffnete Kampf der Guerrilla war sein eigener. Mit Leuten wie Sabaté, Facerías und anderen war er persönlich bekannt, vielleicht befreundet. Vermuten lässt sich auch, dass Antonio Téllez einer dieser vielen kulturbegeisterten Arbeiter Spaniens war. Ein Kind eines Eisenbahners, wie Téllez eines war, genoss in der harschen spanischen Klassengesellschaft in der ersten Hälfte des 20. Jahrhunderts in aller Regel wenig Schulbildung. Der spanische Anarchismus setzte dem eine Art kulturelle Selbstemanzipation entgegen – mittels eigener Schulen, Bibliotheken, Kulturtreffs (so genannte ateneos) und Bildungsexkursionen. In der Folge brachte die libertäre Bewegung eine Reihe von Historikern hervor, die man als Autodidakten bezeichnen kann, da sie nie eine Universität besuchten. Antonio Téllez war einer von ihnen. Stuart Christie schreibt in einem Nachruf über Téllez: „Sein Archiv war riesig und seine Wohnung, von der aus man über den [Pariser] Friedhof Pêre Lachaise sah, war vom Boden bis zur Decke vollgestopft mit Ordnern, Dokumenten und Fotoalben. Es war beachtlich, was er herausgefunden hatte, wenn man bedenkt, dass sein Forschungsthema besonders schwierig war. Denn dabei handelte es sich um geheim operierende Gruppen und um verschlossene, individualistische Militante, die eher Aktivisten denn Theoretiker waren […].“"
Jolanda,Terenzio,"Jolanda Terenzio, griechische Schriftstellerin und Journalistin (1922–2006), war Korrespondentin der BBC in Griechenland. ""413 Tage"" erschien 1983 im Verlag Hestia in Athen und wurde ins Spanische und Französische übersetzt."
Thomas,Theodoroudis,"Thomas Theodoroudis ist Philosoph, Kellner, Motorrad-Rowdy und arbeitet seit einigen Jahren in einer von ihm mitbegründeten kollektiven Tavernenbuchhandlung."
Alphons,Thun,Zu dieser Autor:in gibt es noch keinen Text.
Steve,Tilzey,Zu dieser Autor:in gibt es noch keinen Text.
Marek,Toman,"Marek Toman, Marek Toman, geboren 1967, studierte Philosophie, arbeitete beim Tschechischen Radio und als Diplomat in Estland und Ungarn. Als Romancier, Dichter und Übersetzer widmet er sich leidenschaftlich der jüdischen Kultur – der Kultur seines Vaters, den er früh im Leben verlor. Das gemeinsame Thema seiner Bücher sind die Beziehungen zwischen den Generationen."
Alia,Trabucco Zerán,"Alia Trabucco Zerán, geboren 1983 in Chile, Studium in New York und London, Juristin und mehrfach ausgezeichnete Schriftstellerin."
Séverine,Tréfouel,"Séverine Tréfouël, geboren 1981 in Frankreich, Szenaristin und Autorin, zahlreiche Veröffentlichungen, etwa ""Cartier-Bresson, Deutschland 1945""."
Eddy,Vaccaro,"Eddy Vaccaro, geboren 1973 in La Ciotat (F), studierte Kunst in Aix-en-Provence, lebt als Musiker und Comiczeichner in Marseille."
Paolo,Valentini,Zu dieser Autor:in gibt es noch keinen Text.
Jan,Valtin,Zu dieser Autor:in gibt es noch keinen Text.
Marcel,van der Linden,"Marcel van der Linden studierte eigentlich Soziologie, ist heute aber niederländischer Historiker und Professor für die Geschichte sozialer Bewegungen an der Universität Amsterdam. Er forscht zur Geschichte der europäischen und globalen ArbeiterInnenbewegung und veröffentlichte zahlreiche Studien und Artikel dazu. Ausserdem ist er Forschungsdirektor am grössten Anarchismus-Archiv der Welt, dem Internationalen Institut für Sozialgeschichte, das ebenfalls in Amsterdam beheimatet ist. 2009 bekleidete er eine Gastprofessur an der Universität Wien."
Alfredo,Villar,Zu dieser Autor:in gibt es noch keinen Text.
Gregor,Wakounig,"Greogor Wakounig, geboren in Borovlje in Kärnten, ist Japanologe, Übersetzer und Journalist und studierte in Japan."
Josef,Weidenholzer,"Josef Weidenholzer ist Soziologe und emeritierter Professor fu?r Gesellschaftspolitik und Sozialpolitik, war langja?hriger Pra?sident der Volkshilfe und von 2011 bis 2019 Mitglied des Europa?ischen Parlaments."
Kalmen,Wewryk,"Kalmen Wewryk wurde 1906 in Chelm geboren. Er heiratete seine Freundin Yocherved und die beiden bekamen 1934 einen Sohn namens Yossele, 1939 kam ihre Tochter Pesha zur Welt. Im Jahr 1942 wurde seine Familie bei einer Aktion im Ghetto festgenommen. Kalmen Wewryk hat seit dem nichts mehr von seiner Frau und seinen beiden Kindern gehört. Im Herbst 1942 wurde auch er verhaftet und nach Sobibór gebracht. Dort entging er der direkten Ermordung, indem er als Zimmermann Zwangsarbeit leistete. Nach der Flucht durch den Aufstand am 14. Oktober 1943 versteckte er sich monatelang in den Wäldern in der Umgebung von Chelm. Durch Glück stieß er auf eine Gruppe russischer Partisanen, schloss sich ihnen an und befreite als Mitglied der Roten Armee seine Heimatstadt von den deutschen Besatzern. 1956 wanderte er über Frankreich nach Kanada aus, wo er bis zu seiner Pensionierung 1968 als Zimmerer arbeitete."
Jankiel,Wiernik,"Jankiel Wiernik entging als Zimmermann im Vernichtungslager Treblinka ein Jahr lang dem Tod und konnte beim Aufstand am 2. August 1943 entkommen. Er schloss sich dem polnischen Widerstand an und verfasste 1944 diesen Erlebnisbericht, der als eine der frühen und zentralen Quellen über die Vernichtung des europäischen Judentums gilt. Der Text konnte nach London geschmuggelt werden, wurde übersetzt und erschien 1944 zum ersten Mal in New York. 70 Jahre nach der Erstveröffentlichung liegt nun eine Übersetzung auf Deutsch vor. Wiernik war Zeuge beim Prozess gegen Adolf Eichmann 1961, das Coverbild zeigt ihn mit einem Modell des Lagers. Er verstarb 1971 in Israel."
Daniel,Wisser,"Daniel Wisser, geboren 1971, Schriftsteller und Kulturpessimist, 2018 Österreichischer Buchpreis für Königin der Berge, 2021 erschien der Roman Wir bleiben noch."
Aleksandar,Zograf,"Alexander Zograf (eigentlich Saša Rakezi?), geboren 1963 in Pan?evo, Jugoslawien, lebt und arbeitet in Belgrad als Comicautor und Zeichner, u.a. für die Wochenzeitung Vreme. Seine Werke wurden in über 15 Sprachen übersetzt und etwa bei Fantagraphics (USA) oder L’Association (F) veröffentlicht."